
Interrupt method selected.

Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple.

Please, press PB0 to continue.
2, 1, 0, 17, 49837, 0
4, 2, 0, 40, 35594, 1
6, 3, 0, 20, 59103, 2161
8, 4, 0, 37, 62265, 0
10, 5, 0, 43, 35592, 0
12, 6, 0, 14, 2953, 0
14, 7, 0, 15, 54564, 0
16, 8, 0, 32, 41130, 0
18, 9, 0, 36, 27799, 0
20, 10, 0, 19, 19904, 0
22, 11, 0, 27, 14463, 0
24, 12, 0, 46, 6413, 0
26, 13, 0, 32, 951, 0
28, 14, 0, 47, 60000, 0
30, 15, 0, 48, 55511, 0
32, 16, 0, 27, 53922, 0
34, 17, 0, 25, 48889, 0
36, 18, 0, 27, 46956, 0
38, 19, 0, 56, 43334, 0
40, 20, 0, 58, 41905, 0
42, 21, 0, 48, 39290, 0
44, 22, 0, 53, 37641, 0
46, 23, 0, 38, 36668, 0
48, 24, 0, 66, 33334, 0
50, 25, 0, 59, 32530, 0
52, 26, 0, 53, 31111, 0
54, 27, 0, 48, 29762, 0
56, 28, 0, 47, 27776, 0
58, 29, 0, 80, 26667, 0
60, 30, 0, 58, 26229, 0
62, 31, 0, 64, 24655, 0
64, 32, 0, 50, 24241, 0
66, 33, 0, 75, 23736, 0
68, 34, 0, 66, 21907, 0
70, 35, 0, 54, 22224, 0
72, 36, 1, 90, 19711, 0
74, 37, 193, 74, 26299, 0
76, 38, 58, 84, 19778, 0
78, 39, 0, 70, 18334, 0
80, 40, 38, 89, 17740, 0
82, 41, 122, 86, 18436, 0
84, 42, 57, 64, 16612, 0
86, 43, 371, 76, 19476, 0
88, 44, 1, 77, 15558, 0
90, 45, 310, 97, 17385, 0
92, 46, 258, 77, 16357, 0
94, 47, 183, 94, 15264, 0
96, 48, 96, 76, 13700, 0
98, 49, 0, 109, 13334, 0
100, 50, 284, 89, 13072, 0
102, 51, 549, 77, 12821, 0
104, 52, 806, 76, 12579, 0
106, 53, 1050, 87, 12346, 0
108, 54, 1285, 69, 12122, 0
110, 55, 1488, 78, 14881, 0
112, 56, 1704, 88, 16310, 0
114, 57, 1914, 109, 11500, 0
116, 58, 343, 107, 9786, 0
118, 59, 1, 94, 10002, 0
120, 60, 235, 106, 9839, 0
122, 61, 461, 92, 9680, 0
124, 62, 674, 107, 9526, 0
126, 63, 892, 108, 9376, 0
128, 64, 1057, 95, 9231, 0
130, 65, 1272, 118, 11634, 0
132, 66, 737, 115, 9397, 0
134, 67, 754, 112, 8401, 0
136, 68, 964, 117, 10068, 0
138, 69, 567, 122, 7798, 0
140, 70, 74, 130, 7050, 0
142, 71, 486, 120, 8315, 0
144, 72, 91, 119, 6861, 0
146, 73, 58, 132, 6757, 0
148, 74, 1, 114, 6668, 0
150, 75, 194, 124, 6579, 0
152, 76, 382, 122, 6494, 0
154, 77, 549, 108, 6411, 0
156, 78, 719, 110, 6330, 0
158, 79, 892, 109, 6251, 0
160, 80, 1050, 121, 6173, 0
162, 81, 1219, 122, 6098, 0
164, 82, 1389, 110, 6025, 0
166, 83, 1487, 108, 5953, 0
168, 84, 1679, 106, 5883, 0
170, 85, 1776, 124, 5814, 0
172, 86, 1914, 109, 5748, 0
174, 87, 2065, 121, 5682, 0
176, 88, 2205, 121, 5618, 0
178, 89, 2332, 123, 5556, 0
180, 90, 2476, 122, 5495, 0
182, 91, 2715, 120, 5435, 0
184, 92, 2687, 106, 5377, 0
186, 93, 2862, 108, 5320, 0
188, 94, 2959, 107, 5264, 0
190, 95, 3076, 106, 5209, 0
192, 96, 3219, 121, 5155, 0
194, 97, 3314, 108, 5103, 0
196, 98, 3405, 121, 5051, 0
198, 99, 3517, 105, 5001, 0
200, 100, 3599, 121, 4951, 0
202, 101, 3698, 121, 4902, 0
204, 102, 3785, 105, 4855, 0
206, 103, 3897, 120, 4808, 0
208, 104, 3988, 121, 4762, 0
210, 105, 4065, 120, 4717, 0
212, 106, 4152, 119, 4673, 0
214, 107, 4242, 119, 4630, 0
216, 108, 4408, 106, 4589, 0
218, 109, 4544, 106, 4546, 0
220, 110, 4608, 120, 4503, 0
222, 111, 4647, 135, 6309, 0
224, 112, 4737, 163, 6630, 0
226, 113, 4794, 204, 8073, 0
228, 114, 4911, 221, 6984, 0
230, 115, 5024, 225, 4340, 0
232, 116, 2600, 189, 2610, 0
234, 117, 2331, 172, 2417, 0
236, 118, 2300, 160, 2389, 0
238, 119, 2215, 168, 2383, 0
240, 120, 2443, 159, 2743, 0
242, 121, 2531, 166, 2682, 0
244, 122, 2709, 180, 2710, 0
246, 123, 2745, 179, 2688, 0
248, 124, 2813, 177, 2667, 0
250, 125, 2892, 164, 2646, 0
252, 126, 2998, 174, 2626, 0
254, 127, 3075, 162, 2604, 0
256, 128, 3169, 175, 2584, 0
258, 129, 3261, 173, 2564, 0
260, 130, 3389, 184, 3221, 0
262, 131, 3424, 245, 4681, 0
264, 132, 3506, 247, 3495, 0
266, 133, 2003, 243, 2441, 0
268, 134, 1751, 207, 1322, 0
270, 135, 2444, 178, 1834, 0
272, 136, 2517, 177, 1826, 0
274, 137, 2615, 253, 3465, 0
276, 138, 1805, 245, 1213, 0
278, 139, 1494, 209, 1045, 0
280, 140, 1912, 248, 2454, 0
282, 141, 126, 238, 41, 0
284, 142, 1789, 259, 1647, 0
286, 143, 1207, 255, 1546, 0
288, 144, 895, 247, 688, 0
290, 145, 143, 244, 42, 0
292, 146, 143, 255, 52, 0
294, 147, 58, 252, 1, 0
296, 148, 31, 272, 1, 0
298, 149, 1, 248, 1, 0
300, 150, 111, 231, 1, 0
302, 151, 194, 231, 1, 0
304, 152, 284, 231, 1, 0
306, 153, 382, 231, 1, 0
308, 154, 461, 231, 1, 0
310, 155, 550, 231, 1, 0
312, 156, 637, 231, 1, 0
314, 157, 719, 231, 1, 0
316, 158, 806, 231, 1, 0
318, 159, 893, 231, 1, 0
320, 160, 981, 231, 1, 0
322, 161, 1051, 231, 1, 0
324, 162, 1141, 231, 1, 0
326, 163, 1219, 231, 1, 0
328, 164, 1285, 231, 1, 0
330, 165, 1390, 231, 1, 0
332, 166, 1497, 231, 1, 0
334, 167, 1488, 231, 1, 0
336, 168, 1578, 231, 1, 0
338, 169, 1680, 231, 1, 0
340, 170, 1706, 231, 1, 0
342, 171, 1776, 231, 1, 0
344, 172, 1850, 231, 1, 0
346, 173, 1916, 231, 1, 0
348, 174, 1970, 231, 1, 0
350, 175, 2045, 231, 1, 0
352, 176, 2118, 231, 1, 0
354, 177, 2206, 231, 1, 0
356, 178, 2234, 231, 1, 0
358, 179, 2333, 231, 1, 0
360, 180, 2401, 231, 1, 0
362, 181, 2477, 231, 1, 0
364, 182, 2549, 231, 1, 0
366, 183, 2716, 231, 1, 0
368, 184, 2702, 231, 1, 0
370, 185, 2688, 234, 1, 0
372, 186, 2780, 231, 1, 0
374, 187, 2864, 231, 1, 0
376, 188, 2910, 231, 1, 0
378, 189, 2960, 231, 1, 0
380, 190, 3030, 231, 1, 0
382, 191, 3077, 231, 1, 0
384, 192, 3128, 231, 1, 0
386, 193, 3221, 231, 1, 0
388, 194, 3262, 231, 1, 0
390, 195, 3316, 231, 1, 0
392, 196, 3384, 231, 1, 0
394, 197, 3403, 231, 1, 0
396, 198, 3454, 231, 1, 0
398, 199, 3518, 231, 1, 0
400, 200, 3553, 231, 1, 0
402, 201, 3600, 231, 1, 0
404, 202, 3693, 231, 1, 0
406, 203, 3699, 231, 1, 0
408, 204, 3752, 231, 1, 0
410, 205, 3786, 231, 1, 0
412, 206, 3864, 231, 1, 0
414, 207, 3897, 231, 1, 0
416, 208, 3914, 231, 1, 0
418, 209, 3989, 231, 1, 0
420, 210, 4061, 231, 1, 0
422, 211, 4066, 231, 1, 0
424, 212, 4123, 231, 1, 0
426, 213, 4180, 231, 1, 0
428, 214, 4208, 231, 2, 0
430, 215, 4272, 231, 2, 0
432, 216, 4336, 231, 1, 0
434, 217, 4410, 231, 2, 0
436, 218, 4566, 231, 1, 0
438, 219, 4545, 231, 2, 0
440, 220, 4595, 231, 0, 0
442, 221, 4614, 231, 0, 0
444, 222, 4637, 231, 0, 0
446, 223, 4648, 231, 0, 0
448, 224, 4682, 231, 0, 0
450, 225, 4737, 231, 0, 0
452, 226, 4764, 231, 0, 0
454, 227, 4794, 231, 0, 0
456, 228, 4867, 231, 0, 0
458, 229, 4912, 231, 0, 0
460, 230, 4945, 231, 0, 0
462, 231, 4996, 231, 0, 0
464, 232, 5004, 231, 0, 0
466, 233, 5062, 231, 0, 0
468, 234, 5103, 231, 0, 0
470, 235, 5155, 231, 0, 0
472, 236, 5269, 231, 0, 0
474, 237, 5249, 231, 0, 0
476, 238, 5282, 231, 0, 0
478, 239, 5300, 231, 0, 0
480, 240, 5343, 231, 0, 0
482, 241, 5369, 231, 0, 0
484, 242, 5483, 231, 0, 0
486, 243, 5462, 231, 0, 0
488, 244, 5502, 231, 0, 0
490, 245, 5540, 231, 0, 0
492, 246, 5573, 231, 0, 0
494, 247, 5642, 231, 0, 0
496, 248, 5620, 231, 0, 0
498, 249, 5681, 231, 0, 0
500, 250, 5714, 231, 0, 0
502, 251, 5769, 231, 0, 0
504, 252, 5789, 231, 0, 0
506, 253, 5902, 231, 0, 0
508, 254, 5879, 232, 0, 0
510, 255, 5857, 231, 0, 0
512, 256, 5919, 231, 0, 0
514, 257, 5933, 231, 0, 0
516, 258, 5964, 231, 0, 0
518, 259, 6040, 231, 0, 0
520, 260, 6034, 231, 0, 0
522, 261, 6103, 231, 0, 0
524, 262, 6081, 231, 0, 0
526, 263, 6136, 231, 0, 0
528, 264, 6171, 231, 0, 0
530, 265, 6262, 231, 0, 0
532, 266, 6239, 231, 0, 0
534, 267, 6274, 231, 0, 0
536, 268, 6303, 231, 0, 0
538, 269, 6345, 231, 0, 0
540, 270, 6371, 231, 0, 0
542, 271, 6401, 231, 0, 0
544, 272, 6408, 231, 0, 0
546, 273, 6437, 231, 0, 0
548, 274, 6461, 231, 0, 0
